"","X","geschl","flexi","ziele","entsch","kooperation","ueberzeugen","analyse","ma.steuern","ma.entw"
"323",327,"männlich",0.883413656606953,0.609720437972378,0.817414819784591,-1.03253244043094,0.812695744663485,-1.15922468831888,0.792556301899121,0.849916829049351
"324",328,"männlich",0.379631537498892,-0.562309709647345,-0.217607537336386,0.337949999893547,-0.308080739807078,0.496387237029596,0.312115404707574,0.310313597372454
"325",329,"männlich",-0.879823760271261,-1.34366314139383,-3.11567013727512,-1.70303056484057,-1.65301252117175,2.24144928535898,-0.888986838271297,-1.30849609765824
"326",330,"männlich",-0.879823760271261,-1.14832478345721,-0.631616480184777,-1.92980618314435,-1.42885722427764,-1.49034707338857,-1.12920728686707,-1.57829771349669
"327",331,"männlich",-0.124150581609169,0.0237053641625163,-0.838620951608973,0.337949999893547,0.140229853981147,-0.828102303249184,0.312115404707574,-0.768892865981339
"328",332,"männlich",-1.88738799848738,-1.14832478345721,-1.25262989445736,-0.342376855017823,-1.65301252117175,-1.49034707338857,0.0718949561117991,0.580115213210902
"329",333,"männlich",1.13530471616098,1.39107386971886,0.196401405512005,-0.80575682212715,0.588540447769372,-0.828102303249184,0.552335853303348,-0.624743539315883
"330",334,"männlich",-0.879823760271261,-0.562309709647345,0.196401405512005,1.24505247310871,0.140229853981147,0.165264851959901,-0.648766389675523,-0.229289634304445
"331",335,"männlich",-0.627932700717231,-0.757648067583965,-0.631616480184777,-0.115601236714033,-0.308080739807078,0.165264851959901,-1.36942773546285,-1.57829771349669
"332",336,"männlich",-0.627932700717231,-1.14832478345721,-0.838620951608973,0.337949999893547,-0.980546630489416,0.165264851959901,-1.12920728686707,-1.57829771349669
"333",337,"männlich",0.631522597052923,0.609720437972378,0.196401405512005,0.791501236501128,-0.980546630489416,0.9169597450802,0.792556301899121,0.310313597372454
"334",338,"männlich",-0.627932700717231,0.414382080035757,0.4034058769362,-0.115601236714033,0.140229853981147,-1.49034707338857,0.312115404707574,0.0405119815340044
"335",339,"männlich",-0.627932700717231,-0.757648067583965,-0.217607537336386,-1.70303056484057,-0.532236036701191,-0.828102303249184,-0.888986838271297,-1.30849609765824
"336",340,"männlich",-1.13171481982529,-1.34366314139383,-2.49465672300254,-1.47625494653678,-0.756391333595304,2.24144928535898,-0.408545941079748,-0.229289634304445
"337",341,"männlich",0.127740477944861,0.414382080035757,-0.0106030659121908,-0.115601236714033,-0.308080739807078,0.496387237029596,-0.408545941079748,-0.229289634304445
"338",342,"männlich",-0.124150581609169,0.0237053641625163,-0.0106030659121908,1.69860370971629,1.0368510415576,-1.15922468831888,0.792556301899121,0.310313597372454
"339",343,"weiblich",1.261250245938,0.609720437972378,-0.148606046861655,1.32064434587664,0.36438515087526,-0.828102303249184,1.75343809628222,1.38952006072625
"340",344,"weiblich",2.64665107348517,2.17242730146534,1.64543270548137,2.37893056462767,2.38178282292227,0.496387237029596,3.19476078785686,2.7385281399185
"341",345,"weiblich",0.883413656606953,1.39107386971886,1.02441929120879,1.24505247310871,1.0368510415576,0.496387237029596,1.0327767504949,1.92912329240315
"342",346,"weiblich",0.379631537498892,0.414382080035757,0.196401405512005,0.791501236501128,0.140229853981147,-1.73201933547735,0.0718949561117991,0.580115213210902
"343",347,"weiblich",0.883413656606953,-0.757648067583965,-0.631616480184777,0.564725618197338,0.36438515087526,0.496387237029596,-0.648766389675523,0.849916829049351
